repository	commit	date	subject	subsystem	disposition	relevance reason
nodejs/node	6e474c024c85d9a93db40020dacd20a768c62369	2025-12-07T21:28:57+01:00	test: skip tests not passing without `NODE_OPTIONS` support	node-test	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	381be1e8a2e045432402a7548bdbca75b089b774	2025-12-08T21:42:52+08:00	test: deflake `test-repl-paste-big-data`	node-test	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	728f23c938aac506ba8c5e4ed75ad1beb242b281	2025-12-08T15:09:20+01:00	doc: mark --build-snapshot and --build-snapshot-config as stable	node-doc	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	e284d037ce0b53a5dea2ee8bd16bcc2c92e16638	2025-12-08T15:09:30+01:00	cli: mark --heapsnapshot-near-heap-limit as stable	node-cli	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	caa0cbf94fa27b9f4a69ca222f0a0d19562d2d1b	2025-12-08T15:09:39+01:00	v8: mark v8.queryObjects() as stable	node-v8	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	1fbe842d6402d58b1f589e5504cfb7ac9952e9b2	2025-12-08T16:08:11+01:00	module: mark module compile cache as stable	node-module	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	902a2e41c7cab0fcb0483ccc585fd08de612a15d	2025-12-05T10:52:01+01:00	cli: add --require-module/--no-require-module	node-cli	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	40c57ed1b58bbf591cebb5edfa0a8f9d97378cf3	2025-12-05T12:02:58+01:00	module: mark require(esm) as stable	node-module	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	e172be269890702bf2ad06252f2f152e7604d76c	2025-12-08T18:54:38Z	test: update WPT for urlpattern to aed1f3d244	node-test	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	b973b86c328a6f09a1057bc9467ab6b5094525f4	2025-12-09T00:56:32+01:00	tools: do not run `test-linux` workflow for changes on `vcbuild.bat`	node-tools	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	bd426739dcc17ecfef833d81638cf76b4357b0ba	2025-12-09T01:05:36Z	tools: update nixpkgs-unstable to a672be65651c80d3f592a89b3945466584a	node-tools	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	0ffa607dee513f161e2e4c5b7e8256d6bf4e9ea9	2025-12-09T12:18:58+01:00	tools: fix `vcbuild test` when path contain spaces	node-tools	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	83ba6b107a067f5831b03ab69c787fcb35bdcb05	2025-12-09T06:38:02-08:00	test: update test426 fixtures	node-test	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	d5f2f14fadaf52bdeb5b6b86b75d0e66dc81ff08	2025-12-08T12:19:55Z	benchmark: add microbench on isInsideNodeModules	node-benchmark	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	32ea48d74993c323664e9f62acafba3c8661ad37	2025-12-08T12:36:38Z	lib,src: isInsideNodeModules should test on the first non-internal frame	buffer-memory	retained-by-path	Changed a screened Node/V8 integration or memory-related path. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	c0108bfc55032d06ed0e9fe2802b437603b80a7d	2025-12-10T17:12:28+01:00	http: add http.setGlobalProxyFromEnv()	node-http	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	47d8b88868efeddf6439b766dbb8984303f8758f	2025-12-09T08:12:29Z	2025-12-10, Version 24.12.0 'Krypton' (LTS)	node-2025-12-10-version-24-12-0-krypton-lts-	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	159f9c203b16b9cbdb1252c9b90353e3e8ceb6c9	2025-12-10T18:11:33+01:00	doc: mark crypto.hash as stable	node-doc	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	e28656a6172c35d88a472e33894a11f0e9f98eee	2025-12-10T17:11:42Z	test: mark stringbytes-external-max flaky on AIX	node-test	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	0624e7a180dc9fa0082d54cc31e86090332942ce	2025-12-10T15:30:40-08:00	deps: upgrade npm to 11.7.0	node-deps	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	410174c3c4a3e39ce0f880f610a6cc3c07218151	2025-12-09T00:33:03+01:00	test_runner: propagate V8 options to child process	node-test-runner	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	e50cbc1abd41d4a47d60bfabd12cf72833096cbc	2025-12-11T00:55:36+01:00	test: enforce better never-settling-promise detection	wasm-trap-integration	retained-by-path	Changed a screened Node/V8 integration or memory-related path. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	67527c427efd608b3062f758bfc17d811ef5ad91	2025-12-11T00:01:22Z	deps: update c-ares to v1.34.6	v8-build-integration	retained-by-path	Changed a screened Node/V8 integration or memory-related path. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	060deae99b031a7d47cf4e6edc82eaf1a0465cfc	2025-11-23T11:16:19+05:30	util: fix parseArgs skipping positional arg with --eval and --print	node-util	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	a1f421feb61d8bb8c55c8d83798fd62f8a5fa10c	2025-12-11T02:29:09Z	sqlite: make `SQLTagStore.prototype.size` a getter	node-sqlite	retained-by-subject	Subject matched the compiler/Wasm/memory/trap/CPU screening vocabulary. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	180c71771414dd26d5be93682f16e47a1d168d23	2025-12-11T17:57:11+08:00	deps: brotli: cherry-pick e230f474b87	node-deps	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	e705603a6f0a5803599f4b85e9072737291d2db6	2025-12-11T10:25:21-03:00	util: add convertProcessSignalToExitCode utility	node-util	retained-by-subject	Subject matched the compiler/Wasm/memory/trap/CPU screening vocabulary. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	29477c5b0059bbc5ce8bdfe75415cc886e604a59	2025-12-11T13:51:28Z	meta: move lukekarrys to emeritus	node-meta	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	029ebac19d1c45069439c4e4ac5ffb5a944827d2	2025-12-11T15:13:35+01:00	test: simplify `test-cli-node-options-docs`	node-test	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	79df8b209b00fd1d4e5343fa036e5c1eb80f43e1	2025-12-09T12:42:02+01:00	lib,test: enforce use of `assert.fail` via a lint rule	node-lib-test	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	a00d95c73dcac8fc2b316238fb978a7d5aa650c6	2025-12-09T12:57:09Z	doc: drop p8 and z13 support	node-doc	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	4db307a4b0fcd804c790caa55573c2bb7b4a8a02	2025-12-11T22:12:03+01:00	fs: detect dot files when using globstar	node-fs	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	14f02fc2f7c1ea7989bdfeddfadc14921edd4e25	2025-12-11T23:04:24+01:00	lib,src,test: fix tests without SQLite	node-lib-src-test	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	81e05e124f71b3050cd4e60c95017af975568413	2025-12-12T13:34:21+01:00	lib: enforce use of `URLParse`	node-lib	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	7f78002f038f8706256376c987f389e1cb6b1f66	2025-12-02T14:28:30+08:00	doc: reorganize docs of module customization hooks	node-doc	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	28b11396feb9ae576d492ebee1b5840b9b6689ea	2025-12-03T13:26:47+08:00	doc: mark sync module hooks as release candidate	node-doc	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	4f24aff94ad9160bceaf9dcc9cf5235a65f01029	2025-12-13T08:36:20+01:00	module: preserve URL in the parent created by createRequire()	node-module	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	6322071efea46c8f8caf02c8ed504cee194cd661	2025-12-14T12:26:36+01:00	tools: improve log output of `create-release-proposal`	node-tools	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	05f8772096f974190b11eabce0ea657bc5c8c1b1	2025-12-14T15:01:11Z	tools: fix update-nghttp2 signature verification	node-tools	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	dcb9573d0f90ee0d66001d26514bbdcfd8e0610e	2025-12-16T01:08:28Z	tools: update nixpkgs-unstable to f997fa0f94fb1ce55bccb97f60d41412ae8	node-tools	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	2e597ded4bf8f90146647ab666123c3cb5069e78	2025-12-17T04:31:28+08:00	doc: update MDN links	node-doc	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	240382451df116493185db5fe3ca2d08d23bd6c9	2025-12-17T13:24:43+01:00	doc: add gurgunday to collaborators	node-doc	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	b1c01fc8b33c1f7c3d0f5927ef86ff89a9d65461	2025-12-17T13:22:24Z	build: skip build-ci on actions with a separate test step	node-build	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	e20175993a4dc7090ab5419edfb3c4c74cf826c8	2025-12-18T12:34:25+01:00	doc: warn about short GCM tags visibly	node-doc	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	25947d6504c0e01d8897be5b78292e3e01d16fc9	2025-12-18T16:12:23+01:00	tools: simplify `notify-on-push`	node-tools	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	4e1f39b678b37017ac9baa0971e3aeecd3b67b51	2025-12-18T11:00:35-05:00	doc: add @avivkeller to collaborators	node-doc	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	9a6e55ab3d6fee29c162c5b33e5c483076621248	2025-12-20T07:22:38+01:00	src: remove unused private field in `SQLTagStore`	node-src	retained-by-subject	Subject matched the compiler/Wasm/memory/trap/CPU screening vocabulary. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	0a5418088fb724c0ab4a958447e338ad13c6d2eb	2025-12-20T11:21:03+01:00	doc: exclude compile-time flag features from security policy	node-doc	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	1a345922e45c4b7165437648c64075b44216d281	2025-12-20T13:28:30+01:00	doc: add a tip about developer mode on Windows	node-doc	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	5ea56f448b9f92cb7ba62c9bc6bea5965ca777b0	2025-12-20T05:40:38-08:00	doc: correct invalid collaborator profile	node-doc	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	6338e643a87b018fb40e711092a5360efa300d40	2025-12-20T15:49:08Z	test: skip sea tests on riscv64	node-test	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	e5b6f89328cdbee35734ed5f6b69c5ee16fe14ee	2025-12-20T15:54:07Z	test: remove unneccessary repl magic_mode tests	node-test	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	dc97b507d07ea3e89066e1796a5dc320f6b0cf10	2025-12-20T18:02:17+01:00	util: mark proxied objects as such when inspecting them	node-util	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	038cb750122ac94485b9337c7a6aa3284dae08c7	2025-12-20T19:11:05+01:00	doc: fix test settime docs	node-doc	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	41c507f56ddff2cd6e5a5509e61bfceab826d9b2	2025-12-20T19:54:01+01:00	build: update test-wpt-report to use NODE instead of OUT_NODE	node-build	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	aad8c055952839392e3983830cad2114f7fa3863	2025-12-20T18:54:12Z	repl: fix getters triggering side effects during completion	node-repl	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	79d695356ad4de3e8940718d43deb180d2196f76	2025-12-20T18:54:21Z	deps: update googletest to 065127f1e4b46c5f14fc73cf8d323c221f9dc68e	node-deps	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	3b7477c4d57862d587026594e2f1b5ba15a62a14	2025-12-20T18:54:32Z	test_runner: fix lazy `test.assert` accessor	node-test-runner	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	dff46c07c37f5cacc63451b84ba21478c4bbc45c	2025-12-20T23:02:29+01:00	crypto: move DEP0182 to End-of-Life	node-crypto	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	ed6ec9626eddee3ad00edfea4b0535bb9ee2638d	2025-12-20T22:20:21Z	test: make buffer sizes 32bit-aware in test-internal-util-construct-sab	buffer-memory	retained-by-path	Changed a screened Node/V8 integration or memory-related path. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	a65421a679a09fd29d9cc544d8718fb69ee99098	2025-12-21T02:12:15+01:00	process: preserve AsyncLocalStorage in queueMicrotask only when needed	node-process	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	01ebb475a40f385ea4c241a04d0bfb599fefb64c	2025-12-21T11:14:59+01:00	tools: use sparse-checkout in linter jobs	node-tools	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	9d27d9a39337bb26a4d05e852e7574065e0da03c	2025-12-21T10:41:24Z	deps: patch V8 to 14.3.127.17	v8-roll-or-backport	provenance-reviewed	Bundled-V8 roll or upstream backport/cherry-pick; retained for exact provenance. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	607a741941994a5f27774a807ef36149963cb821	2025-12-21T11:45:18+01:00	tools: only report commit validation failure on Slack	node-tools	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	b8db64c18d8c4d8b6c968e85e0f227e41e3c7800	2025-12-21T23:25:58Z	deps: update simdjson to 4.2.4	node-deps	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	d7e4108bc1beb7dc01890b032e7ba89d12feed4e	2025-12-22T00:53:06+01:00	src: remove redundant CHECK	node-src	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	26b7fd2009c348a64674da78ddda1076e74595d2	2025-12-22T14:06:14+01:00	util: limit `inspect` to only show own properties	node-util	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	28f468a61544c8175508ee2888224e8b660f8ea8	2025-12-22T15:35:45+01:00	module: fix sync resolve hooks for require with node: prefixes	node-module	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	472f58684055a15b465e02466548df5def4ed640	2025-12-22T17:14:46+01:00	os: freeze signals constant	node-os	retained-by-subject	Subject matched the compiler/Wasm/memory/trap/CPU screening vocabulary. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	416db75e42e347f0159f1fbc65ed75de998b27da	2025-12-22T17:14:56+01:00	events: remove eventtarget custom inspect branding	node-events	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	a968e4e672e4c60c4eebc53e2e875f6add764ea5	2025-12-15T13:27:40+01:00	assert,util: improve deep comparison performance	node-assert-util	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	fc1d6d6b4c6f9c41817de09e7a37543d8067fc57	2025-12-15T17:56:36+01:00	assert,util: fix deep comparing invalid dates skipping properties	node-assert-util	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	6157c81f4b28a0448207e0c915e4d218c5fc30c3	2025-12-15T18:18:53+01:00	assert: use a set instead of an array for faster lookup	node-assert	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	493ce19486a50249731469f8239b43b482ead331	2025-12-05T18:23:47Z	deps: add vendor depenency crate	v8-build-integration	retained-by-path	Changed a screened Node/V8 integration or memory-related path. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	8f66a5c8c85fdce13f60ce60b4929f86a26c686a	2025-12-05T18:23:57Z	deps: apply cargo vendor	v8-build-integration	retained-by-path	Changed a screened Node/V8 integration or memory-related path. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	799feac6f5d2c251a3d5b1b405292f2e544c2777	2025-12-05T18:21:50Z	deps: remove independent temporal	node-deps	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	9120924de1878e61d65eaf2d5d0d27cbe129224e	2025-12-22T23:22:04+01:00	util: fix nested proxy inspection	node-util	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	76c4bee9785175d16232af075e8274fae8301ad0	2025-12-23T00:41:49Z	test: update WPT for urlpattern to a2e15ad405	node-test	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	1d54921552101445928a13a9343d61c1a1aa7f59	2025-12-21T00:41:46Z	deps: update nghttp2 to 1.68.0	node-deps	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	fb2a02f1d13e2d05157640054dd7e825fcc8c7e3	2025-10-26T21:32:37+01:00	deps: nghttp2: revert 7784fa979d0b	node-deps	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	c5d3f5f9c82455b4b6d8ff4204709017a47e1b4e	2025-12-23T01:09:02Z	tools: update nixpkgs-unstable to 7d853e518814cca2a657b72eeba67ae20eb	node-tools	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	55600e6153b9d8a23f6365737123ab26e54b12db	2025-12-23T01:09:13Z	deps: update timezone to 2025c	node-deps	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	a385bb1d701c95b5d647666f9e5c12ca548dc124	2025-12-23T14:39:44+01:00	tools: unpin ngtcp2 version updates	node-tools	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	c837811bafa59896a3509d73c2dc57f3198835ca	2025-12-23T15:45:21+01:00	build: add --debug-symbols to build with -g without enabling DCHECKs	v8-build-integration	retained-by-path	Changed a screened Node/V8 integration or memory-related path. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	dc8215b90d51fafee3c8faef128d9b1e471ddf38	2025-12-24T02:08:31+09:00	fs: remove broken symlinks in rmSync	node-fs	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	5e677d6e7e4a04f217ffb79fcbcdadadb02e6fa0	2025-12-23T18:52:32Z	stream: do not pass `readable.compose()` output via `Readable.from()`	node-stream	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	ae407c310989913f3faf86019b02fdbca217e333	2025-12-24T11:04:57+08:00	doc: add a smooth scrolling effect to the sidebar	node-doc	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	732ab9d658e057af5191d4ecd156d38487509462	2025-12-24T10:53:23+01:00	tools,doc: fix format-md files list	node-tools-doc	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	13073a9b40db0c712015c44d14346d1f0fcd52f9	2025-12-24T15:34:43-05:00	build: remove temporal updater	node-build	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	7b7004a0ed22dd5d413c24381bb877442604a264	2025-12-14T20:52:44+09:00	benchmark: allow boolean option values	node-benchmark	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	42d0e1307b11bc2a402716142e9abc51aec73693	2025-10-06T19:24:11+09:00	benchmark: use boolean options in benchmark tests	node-benchmark	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	7786470ff50e912b16a68012456c86b611488ad7	2025-12-27T03:03:55+03:00	src: add HandleScope to edge loop in heap_utils	node-src	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	9c346d22a75696b8a5f615224816542f271bf450	2025-12-27T05:34:05+05:30	sqlite: improve error messages for tag store	node-sqlite	retained-by-subject	Subject matched the compiler/Wasm/memory/trap/CPU screening vocabulary. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	36ffbc5357b5f2607815bb31a8952ffb02d9a41b	2025-12-27T03:04:17+03:00	src: improve StringBytes::Encode perf on ASCII	node-src	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	ed47077736f6fdf797aa45de9e0516da5b99e690	2025-12-27T03:40:39+03:00	util: optimize toASCIILower function using V8s native toLowerCase	node-util	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	0804ec4cfefefab3dd45d05eab671999ae345ea1	2025-12-27T17:52:40+01:00	doc: document error event on readline InterfaceConstructor	node-doc	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	15bdf38fd8f32ff6bb6ee72cf7838712226178f6	2025-12-27T17:14:40Z	deps: update nghttp3 to 1.13.1	node-deps	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	9f06e7223442ad52773842271f6dc453e4eb5231	2025-12-28T04:21:39+03:00	lib: gbk decoder is gb18030 decoder per spec	node-lib	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	05d6b9b5dfba8984a5c600d5e568520aa83ca23c	2025-12-27T18:21:49-07:00	fs: fix rmSync to handle non-ASCII characters	node-fs	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	879b95efeaf433939df0d47e044cce7f7037dc59	2025-12-29T01:47:15+01:00	doc: correct options for net.Socket class and socket.connect	node-doc	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	5c8ce910bd23f6fa7f1f05f39be575949090ced5	2025-12-29T23:50:44+07:00	assert,util: improve comparison performance	node-assert-util	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	4031355dd687996cd8fc491d7ba5c1e58245b817	2025-12-29T21:07:14-03:00	doc: clarify threat model for application-level API exposure	node-doc	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	6de0f0c3f738939ed8eb10a026c8117fa49063ac	2025-12-30T01:09:37Z	deps: update nghttp3 to 1.14.0	node-deps	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	2696391b18fdd60f0dc93df1e987b9e0116da824	2025-12-30T01:09:46Z	tools: update nixpkgs-unstable to 3edc4a30ed3903fdf6f90c837f961fa6b49	node-tools	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	20bf3287c2bdce55077da91b7c405aecdc31fef8	2025-12-30T08:19:05+01:00	doc: missing `passed`, `error` and `passed` properties on `TestContext`	node-doc	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	06bf489379c9e5cb20f7d3a5e31ed1cf8cc0672c	2025-12-30T10:15:52-08:00	esm: avoid throw when module specifier is not url	node-esm	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
